Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,Coor_X,Coor_Y
17,4.5,0.3,18,1700,2,0.12,0.02,6.7,27,20,1403,8.5,17,14,367,0.31,9.8,14,185,43,0.23,2.8,513,5.1,2023,0.64,36,0.8,12,12,263,15.41,1.67,2.05,3.3,0.51,3.65,70.12,40496431.1,4076608.265
18,3,0.69,13,2400,2,0.09,0.03,8.3,25,17,230,7.5,13,16,303,0.46,6.8,16,181,50,0.2,2.3,667,4.8,1514,0.77,25,0.8,10,18,178,17.25,1.83,1.77,3.63,0.38,4.2,69.59,40499107.78,4076607.565
32,5.7,14.8,21,917,2.4,0.18,0.04,14,55,21,542,30,33,22,660,0.44,13,31,380,35,0.31,2,259,8.6,3797,1.4,72,1.6,21,28,400,14.32,1.31,3.83,2.89,1.12,2.46,70.21,40486620.1,4078837.548
28,5.4,2,30,853,2.7,0.15,0.04,12,35,18,551,11,31,20,683,0.44,14,23,320,33,0.3,2.2,243,8.6,3147,1.4,57,1.1,23,33,408,14.32,1.2,3.2,2.96,0.99,2.95,70.21,40489296.08,4078833.767
22,6.8,2,32,743,2.4,0.15,0.04,14,44,19,390,14,30,20,620,0.4,13,23,286,23,0.41,2.7,229,8.4,3147,1.4,58,1.1,23,28,300,14.17,1.09,3.34,2.77,1.02,2.69,70.72,40491080.07,4078831.714
60.5,6.6,1.9,35,780,2,0.14,0.04,13,35,17,413,11,25,20,620,0.34,12,18,385,31,0.33,2,256,6.3,3347,1.4,50,0.68,24,22,383,14.17,1.2,3.08,2.84,0.84,2.74,72.82,40492864.05,4078830.034
26,4.7,2.2,29,1017,2.1,0.11,0.05,16,31,16,584,9.5,29,20,577,0.25,14,19,1022,31,0.33,1.7,379,7.2,3297,1.4,51,0.74,22,28,233,13.52,2.56,3.15,2.81,1.17,2.88,71.77,40494648.04,4078828.727
16,5.1,1.8,19,1333,2,0.1,0.03,11,27,15,399,6.5,23,16,533,0.23,9.2,16,432,38,0.23,1.4,538,5.9,2898,0.94,55,0.56,15,20,229,15.58,2.4,3.25,2.77,1.09,3.28,69.12,40497324.02,4078827.467
20,5.1,2.6,24,1017,2.1,0.1,0.05,12,31,16,366,17,27,20,543,0.2,9.5,17,350,33,0.28,1.6,546,5.6,2997,0.97,54,0.74,17,27,300,15.26,2.33,3.51,2.91,1.04,3.42,67.04,40499107.89,4077717.328
34,5.6,2.2,30,850,1.8,0.17,0.06,13,38,20,332,14,31,18,694,0.43,12,20,385,36,0.36,1.5,235,9.3,3847,1.3,63,1.4,21,30,442,14.17,1.34,3.74,2.81,1.29,2.53,69.12,40486623.58,4081057.085
24,6.8,2.4,36,810,2.2,0.18,0.04,14,41,22,352,17,29,20,620,0.49,12,25,270,31,0.37,1.5,235,8.5,3247,1.5,58,1.1,22,27,375,13.85,1.06,3.31,2.77,1.37,2.53,71.26,40489298.87,4081053.304
34,6.8,1.8,39,790,2.3,0.2,0.05,13,43,22,314,11,27,20,523,0.49,13,22,279,24,1.6,1.5,242,7.6,2698,1.5,55,0.97,22,25,433,13.85,1.07,2.97,2.69,0.91,1.96,70.72,40491082.39,4081051.25
24,5.8,1.8,35,877,2.1,0.12,0.04,12,30,16,304,8.5,22,20,477,0.23,9.2,19,224,29,0.34,1.3,307,7.3,2548,0.63,45,0.74,17,25,283,13.85,1.16,2.6,2.89,0.91,3.07,73.35,40492864.98,4079939.801
23,5.6,2.2,28,1033,2,0.1,0.04,10,36,15,242,12,18,16,620,0.3,8.3,16,241,31,0.28,1.1,345,4.9,2148,0.72,43,0.74,22,16,250,12.9,1.06,2.31,2.92,0.69,3.11,71.77,40494648.74,4079938.494
20,5.1,1.4,29,1167,2.2,0.15,0.03,13,30,18,408,5.5,21,18,463,0.5,8.2,22,264,31,0.28,1.2,381,6.9,2448,1,62,0.86,17,27,183,14.17,1.59,2.85,2.95,1.29,3.16,68.6,40497324.37,4079937.233
18,5.2,1.9,27,950,2.4,0.14,0.05,13,46,18,542,6.5,25,22,787,0.34,13,19,600,35,0.28,1.6,333,5.5,3047,1.4,57,0.68,26,38,283,14.64,2.12,3.67,3.01,1.34,3.12,68.6,40499108.12,4079936.86
26,5.5,1.6,18,1000,1.8,0.21,0.04,10,32,14,342,11,25,18,587,0.68,9.5,14,435,37,0.3,1.5,281,6.8,2997,1.6,51,1,18,22,408,13.85,1.55,3,3.25,1.12,2.93,68.6,40486625.33,4082166.857
32,6.8,2.2,39,743,2.1,0.2,0.05,12,44,18,375,11,29,22,513,0.7,11,17,308,26,0.43,1.6,239,6,3497,1.7,58,1.5,21,27,417,14,1.27,3.25,2.67,1.12,2.49,72.3,40489300.26,4082163.075
22,6.6,3.1,37,810,2,0.2,0.05,8,38,18,356,17,30,25,437,0.63,9.8,12,308,25,0.34,1.7,256,9.8,3297,1.5,52,1.5,22,25,317,13.85,1.14,3.13,2.85,0.91,2.85,71.77,40491083.55,4082161.021
22,7.1,1.8,41,733,1.7,0.18,0.04,6,37,23,299,7,25,22,413,0.31,8.8,17,286,24,0.47,2.8,247,6.6,3547,1.4,53,1.4,22,22,450,13.52,1.07,3.03,2.63,0.92,2.58,71.26,40492866.84,4082159.34
14,4.6,2.1,22,933,1.6,0.18,0.02,5,24,14,214,8.5,15,16,413,0.23,3.8,1.7,200,30,0.25,1.1,333,6.1,2448,0.94,36,0.68,12,15,208,13.22,1.2,2.28,2.95,0.64,3.45,72.84,40494650.13,4082158.033
20,5.1,2,29,867,1.8,0.15,0.04,7,32,35,466,10,20,18,427,0.66,6.2,17,312,29,0.28,1.4,319,5.1,2698,0.93,60,0.86,15,38,217,14.17,1.98,3.2,2.77,1.57,3.11,68.09,40497325.07,4082156.772
34,5.6,2.9,30,810,1.8,0.18,0.05,17,42,22,342,14,27,22,660,0.47,11,21,365,31,0.3,1.2,224,9.2,3347,1.3,62,1.6,18,28,367,12.28,1.16,3.74,2.79,1.09,2.53,70.72,40499108.36,4082156.399
28,7.3,2.4,27,1000,2,0.18,0.03,10,35,15,352,9,24,20,610,0.4,7.7,16,374,28,0.28,1.4,353,6,2248,1.4,47,0.8,20,18,333,13.85,1.41,2.8,2.96,0.89,3.18,71.77,40487520.23,4084385.051
24,5.4,1.9,28,983,2.2,0.18,0.04,11,29,14,366,17,26,20,567,0.4,8.2,14,304,26,0.28,1.1,326,9.6,2598,1.5,43,1,20,20,350,14.32,1.31,2.51,3.16,0.77,3.03,71.77,40489303.05,4084382.623
22,6.1,1.4,45,833,1.8,0.15,0.03,13,38,16,304,9.5,26,20,467,0.31,9.7,18,312,23,0.31,1.6,287,7.4,3397,1.3,54,1.4,19,20,375,13.52,1.23,2.88,2.71,0.91,2.69,72.3,40491085.88,4084380.568
24,5.8,1.6,37,853,1.8,0.18,0.04,13,25,16,456,10,26,20,503,0.3,8.2,21,368,27,0.33,1.4,304,6.8,2997,1.1,48,1.8,21,28,304,14.17,1.59,2.93,2.65,1.54,2.77,71.26,40492868.7,4084378.887
22,6.2,1.6,32,853,1.9,0.17,0.03,12,41,18,342,11,24,22,533,0.31,8.8,21,315,30,0.3,1.5,287,7.3,2997,1.4,55,0.97,17,28,200,14.32,1.23,3.35,2.78,1.07,2.93,67.55,40495542.94,4084377.066
23,4.5,1.6,29,1000,1.9,0.15,0.03,10,38,15,356,16,22,18,443,0.34,9.3,17,300,35,0.23,1.7,421,6.3,2548,1.1,40,0.86,15,33,225,15.41,1.41,2.83,2.81,0.91,3.5,65.99,40497325.76,4084376.319
18,6.1,3,18,1300,2,0.15,0.06,9,48,13,342,28,21,18,867,0.44,7.3,17,272,31,0.2,1.4,535,5.8,2198,1.1,34,0.62,11,33,171,15.41,1.48,3.66,3.09,1.01,3.96,67.04,40499108.59,4084375.945
34,6.1,2.1,52,700,1.9,0.15,0.04,14,38,18,280,22,26,20,467,0.25,11,19,332,22,0.31,1.3,210,8.6,3097,1.4,50,1.1,18,20,442,11.8,2.05,2.7,2.62,0.82,2.49,71.77,40487523.48,4086604.607
26,7.3,1.8,48,700,2.3,0.18,0.04,18,49,20,418,22,30,28,500,0.34,14,23,310,34,0.41,2.1,210,8.6,2798,2.4,63,1.7,22,25,337,12.75,2.19,3.24,2.58,1.09,2.22,70.21,40489305.84,4086602.178
34,8.1,2.4,43,833,2.4,0.18,0.04,16,47,21,332,12,30,25,500,0.3,12,27,332,31,0.41,1.8,276,7.4,3297,1.7,60,1.5,20,33,342,14.17,1.87,3.24,2.66,1.12,2.53,71.26,40491088.2,4086600.123
24,7.5,1.9,42,850,1.9,0.17,0.04,17,42,21,342,11,29,22,600,0.34,12,22,290,29,0.36,1.7,296,7.3,2997,1.8,60,1.1,25,25,608,14.17,1.34,3.03,2.74,1.04,2.76,75.47,40492870.56,4086598.442
22,5.6,1.9,33,943,1.8,0.17,0.04,17,51,17,366,9.5,25,20,443,0.36,11,21,279,32,0.4,2,311,7.5,2848,1.6,53,1.3,19,27,275,13.85,1.38,2.93,2.77,1.04,2.91,72.82,40495544.1,4086596.62
26,4.4,1.9,28,1100,1.8,0.14,0.04,13,33,16,332,11,19,20,353,0.34,8.3,18,248,33,0.23,1.5,379,6.5,2398,1.2,41,0.8,13,32,217,13.52,1.13,2.55,2.86,0.84,3.28,70.72,40497326.46,4086595.873
22,4.3,2.2,24,1367,2.2,0.15,0.05,14,73,15,542,16,31,28,383,0.34,9.2,38,500,35,0.23,1.6,595,10.1,2798,1.5,50,0.97,15,42,217,15.11,1.77,3.51,2.83,1.7,3.31,65.99,40499108.82,4086595.499
31,6.2,1.7,49,700,2,0.21,0.02,14,55,24,346,14,33,26,473,0.12,14,20,262,38,0.37,4.1,190,8.7,3297,2,63,1.4,18,34,229,12.28,2.82,3.3,2.65,1.07,1.57,72.11,40487526.74,4088824.17
21,5.6,1.7,29,967,2.3,0.18,0.05,11,41,18,333,21,33,21,683,0.09,18,20,281,32,0.37,2.7,263,11.7,3197,1.7,60,0.93,24,28,492,13.52,2.21,2.97,3.03,0.96,2.68,71.58,40489308.63,4088821.741
17,4.4,1.2,25,1267,2,0.12,0.02,16,47,14,324,20,27,21,540,0.17,18,20,266,36,0.25,3,383,13.3,2898,1.7,53,0.8,21,25,517,14.17,2,2.54,3.1,1.04,3.2,72.67,40491090.53,4088819.686
17,5.6,2.2,40,967,2,0.14,0.05,16,58,18,398,3,27,21,540,0.2,13,26,247,39,0.36,3.6,290,8,3197,1.3,66,1.1,21,52,433,13.85,1.91,3.23,2.71,1.17,2.6,72.11,40492872.42,4088818.004
21,3,1.5,37,717,2,0.18,0.04,16,65,23,467,6.5,30,24,473,0.37,15,29,291,22,0.2,2.4,220,7.5,3747,1.9,86,1.1,22,49,333,13.37,2.25,4.2,2.45,1.54,2.37,71.58,40495545.27,4088816.182
13,5.8,3.8,20,1167,2,0.12,0.03,8.3,62,13,398,7,24,20,377,0.15,11,18,366,39,0.37,2.6,407,4.9,5745,1.3,46,0.55,15,35,633,35.4,4.42,2.78,2.91,2.83,3.35,73.2,40497327.16,4088815.434
18,2.5,1.3,15,1400,2.2,0.15,0.05,13,83,15,449,6.5,24,21,483,0.17,13,21,328,50,0.18,3.2,440,8.2,3197,1.4,55,0.56,14,45,217,15.89,2.5,3.17,3.14,1.4,3.72,68.84,40499108.94,4087705.279
24,5.6,1.4,36,700,2,0.18,0.03,16,46,17,333,18,29,20,467,0.23,18,17,469,40,0.36,3.7,253,9.6,3497,1.7,59,1,18,47,425,13.37,4.23,3.37,2.83,1.24,2.64,68.84,40487530,4091043.741
23,4.7,1.1,52,733,2.5,0.12,0.03,11,46,16,360,9.5,34,22,493,0.28,21,18,469,56,0.31,6.6,267,16.1,3497,2.4,70,1.8,20,38,450,12.9,2.37,4.2,3.03,1.07,2.76,68.84,40489311.43,4091041.311
20,5.4,1.1,28,700,3.5,0.15,0.02,16,41,20,355,6,40,24,500,0.36,32,22,396,46,0.31,4.1,247,21.7,3897,2.6,66,1,22,34,458,15.11,1.62,4,3.43,0.91,3.19,69.93,40491092.86,4091039.255
19,4.2,1.2,34,667,3.1,0.15,0.02,17,43,15,506,14,50,24,523,0.56,50,67,766,31,0.3,4.5,253,38.6,5096,5.2,86,1.1,23,41,600,13.52,1.84,6.11,3.01,0.91,3.07,67.75,40492873.36,4089927.788
16,5.1,1.1,33,700,2.5,0.14,0.03,16,46,18,449,8.5,40,22,567,0.4,29,60,519,30,0.34,3.5,307,11.4,4496,2.3,82,1.5,18,45,742,14.32,1.95,4.73,2.83,1.24,2.93,68.84,40495545.85,4089925.966
17,3.6,1.5,20,1017,1.7,0.11,0.04,14,58,17,368,10,29,22,403,0.31,11,22,277,32,0.25,1.7,383,5.8,2498,1.2,52,1.2,14,45,258,14.17,1.87,3.1,2.77,1.16,3.11,70.48,40497327.51,4089925.218
20,2.8,1.4,22,917,1.9,0.12,0.03,8.3,74,17,795,17,42,24,460,0.15,14,23,414,50,0.23,3.4,330,7.2,2748,1.8,55,0.51,17,59,600,13.52,3.09,3.38,2.55,2.81,2.77,72.67,40499109.17,4089924.844
34,7.4,19,37,573,1.7,0.15,0.15,18,48,23,318,30,24,22,517,0.15,12,29,268,67,0.34,3.2,167,6.2,3297,1.6,74,1.7,18,80,308,12.9,2.08,3.97,2.62,1.4,2.26,72.11,40477737.95,4093283.368
32,6.1,0.8,41,533,1.5,0.12,0.07,17,63,20,390,8,28,24,633,0.1,14,27,429,32,0.36,5.5,157,7.6,3847,1.7,74,1.1,19,47,342,12.28,5.49,4.2,2.16,2.58,1.98,66.66,40487531.63,4092153.529
21,5.7,0.89,37,667,2.7,0.15,0.04,13,55,23,459,20,39,22,567,0.25,20,18,480,49,0.34,4.5,217,14.2,3847,2.2,63,1.3,20,41,425,13.52,2.75,3.57,2.96,1.32,2.74,73.2,40489312.83,4092151.099
22,5.4,1,30,550,3.2,0.14,0.03,17,42,15,360,12,33,26,493,0.28,24,20,277,40,0.37,3.7,167,24.5,3347,4.2,56,1,18,41,425,14.17,2,3.57,3.33,0.92,3.05,70.48,40491094.02,4092149.043
17,5.4,0.6,32,650,3.2,0.12,0.03,8.3,37,17,280,10,31,22,467,0.28,24,18,277,43,0.34,5.1,173,19.8,3597,2.3,53,1.1,17,42,500,14.49,2,3.33,3.33,0.91,3.2,75.41,40493765.82,4092146.66
15,5.1,0.6,33,583,3.6,0.17,0.04,11,47,20,398,16,39,24,473,0.61,47,23,459,36,0.36,4.7,180,29.5,4496,3.8,81,1.6,22,47,833,14.17,1.95,5.63,2.99,1.07,3.19,72.11,40495547.01,4092145.538
21,3.8,1,24,817,3.2,0.14,0.03,20,44,27,752,6.5,60,22,600,0.94,38,23,1744,31,0.4,3.9,433,16,5995,3.4,136,2,26,54,792,15.26,3.33,6.89,2.99,1.65,3.38,66.66,40497328.21,4092144.791
17,4.6,0.4,31,833,2,0.21,0.03,16,68,95,415,6.5,27,22,473,0.25,13,29,339,31,0.31,2.6,287,7.3,3097,1.3,59,1.2,16,49,317,12.9,1.83,4.08,2.83,1.37,2.72,72.11,40499109.4,4092144.417
18,5.1,12,41,607,1.8,0.15,0.06,20,72,33,359,12,31,26,617,0.21,15,35,292,38,0.36,3.7,190,9,3597,2,83,1.5,24,47,354,12.58,2.33,4.7,2.5,1.65,2.03,72.67,40477740.86,4094393.162
32,5.4,3,41,700,2.2,0.14,0.05,11,52,25,298,30,32,22,480,0.21,18,26,292,32,0.36,3.7,257,8.1,3647,2,54,1.3,23,31,342,12.58,1.53,2.93,2.69,1.04,2.53,73.2,40487534.89,4094373.111
29,5,1.4,36,650,3.1,0.23,0.07,16,99,30,666,20,35,32,700,0.4,19,43,496,39,0.36,4,250,7.4,3847,2,85,1.6,23,62,308,13.05,2.67,4.86,2.28,2.08,2.37,68.84,40489315.62,4094370.681
24,4.9,0.89,26,733,2.8,0.14,0.04,8.3,74,25,333,12,42,22,700,0.25,35,23,405,29,0.3,3.1,233,20.8,3297,3.3,77,1.4,27,39,558,12.75,2,4.94,3.1,0.99,2.89,73.76,40491096.35,4094368.624
