Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,Coor_X,Coor_Y
38,4.8,6.1,40,751,2.3,0.1,0.02,10.1,54.2,18.3,460,18,41,34,506,0.34,16.1,19.6,461,24.6,0.36,2.6,259,7.9,3689,1.8,69.7,1.4,20.1,46.5,323,14.87,1.27,3.71,2.87,1.34,2.42,69.18,40544290.15,4137764.562
27,4,3.9,19,1165,1.8,0.28,0.03,14.4,88.4,22.7,771,15,53,23,533,0.75,16.1,36.1,1107,25.5,0.25,2.5,622,8.9,5047,2.1,109.8,1,19,62.9,360,15.36,2.85,5.34,2.62,2.1,2.49,64.35,40546061.77,4137774.133
30,5.5,3.1,36,981,2.1,0.18,0.02,9.6,55,17.9,467,13,31.1,39,516,0.25,17.1,22.1,294,25.6,0.46,2.6,259,9.6,3765,2.2,91.2,1.1,21.1,47.6,289,17,1.04,3.61,2.98,1.19,2.08,67.23,40548719.2,4137789.195
34,8.6,2.9,41,967,1.8,0.15,0.01,10.5,55.7,19.4,403,16,32.3,36,547,0.47,16.6,21.2,340,24.4,0.49,2.4,230,10.2,4062,2,95.6,1.4,20.7,42.5,335,15.38,0.93,3.86,2.69,1.22,2.03,68.94,40550490.82,4137799.705
37,5.2,3.2,47,874,1.9,0.23,0.02,9.4,57.5,15.3,520,17,47.4,31,472,0.2,15.9,18.4,346,24.8,0.38,2.6,314,10.7,3461,1.9,64.5,1.1,19.1,49.6,335,16.11,1.11,3.37,2.93,1.19,2.57,68.43,40552262.45,4137810.59
45,6,3.3,41,771,1.9,0.3,0.03,14.7,69.5,24.7,471,20,40.1,34,1319,0.47,14.4,30.3,440,22.6,0.55,2.1,273,8.1,4502,2,102.5,1.5,19.4,56.5,325,15.66,1.72,5.14,2.39,1.52,2.12,66.1,40554034.07,4137821.851
54,5.3,2.9,24,753,1.8,0.69,0.03,15,85.1,26.3,740,16,25.8,29,706,0.47,13.8,37.1,632,22.7,0.38,2.2,360,8,4574,2.4,103.4,1.4,19.2,64.5,376,15.53,2.33,5.44,2.34,1.6,2.45,65.24,40556691.51,4137839.447
60,3.8,2.9,26,950,1.9,0.62,0.03,12.5,77.9,24.5,640,10,28.3,32,499,0.47,15.1,28.4,505,26.9,0.4,1.9,353,8.7,4175,3,97.2,1.3,19.2,63.5,348,15.56,1.79,4.73,2.68,1.52,2.43,66.63,40558463.14,4137851.646
56,6.7,4.2,49,820,1.8,0.25,0.05,9.3,55.3,20.8,410,44,34.3,28,521,0.61,14.2,20.6,545,18.8,0.36,3.1,281,7.6,3627,1.6,71,1.4,18.9,44.7,296,13.28,2.44,3.61,2.67,1.62,1.65,67.49,40500000,4138757.13
40,5,2.5,41,799,1.6,0.18,0.03,8,44.3,15.4,345,33,25.4,24,443,0.64,13.4,16.9,431,20.1,0.3,2.6,289,7.4,3322,1.8,63.9,1.3,17.5,33.5,352,12.58,2.14,2.87,2.71,1.37,1.96,70.04,40502657.05,4138757.552
41,4.9,2.8,34,1032,1.6,0.11,0.04,6.4,35.6,14.3,310,35,21.6,22,377,0.58,11.7,14.2,441,20.2,0.34,2.1,305,7.2,2865,1.4,54.4,1,16.9,31.5,367,12.41,1.65,2.34,2.86,1.09,2.37,72,40504428.41,4138758.303
62,7,2.9,32,859,1.6,0.12,0.06,8.2,42.5,18.5,385,55,25.9,25,467,0.46,12.4,17,724,20.9,0.55,3.4,277,7,3078,1.6,60.5,1.2,16.2,46.8,303,12.9,1.79,2.95,2.89,1.32,1.96,69.8,40506199.78,4138759.429
63,5.7,9.4,38,918,1.9,0.18,0.06,9.2,47.9,20,460,57,35.2,27,558,0.98,12.5,18.2,594,25.1,0.43,2.9,275,7.7,3122,1.5,61.6,1.4,18,48.4,299,13.88,1.8,3.68,2.97,1.35,1.9,68.39,40507971.14,4138760.93
53,5.2,16.5,29,1116,1.9,0.2,0.06,8.1,43.1,16.4,425,58,18.3,24,496,0.47,13.1,18.4,527,30.1,0.36,2.3,363,6.8,2950,1.4,57.9,1.2,17.9,40.5,319,14.39,1.94,3.3,3.18,1.19,2.31,67.83,40510628.19,4138763.887
50,5,67,29,1054,1.6,0.27,0.04,8.2,46.9,17.8,375,49,35.5,22,458,0.41,12.8,15.4,1054,24,0.36,2.3,321,7.4,3103,1.4,60.8,1.1,18.3,41.1,342,13.66,1.83,3.21,2.95,1.32,2.15,68.86,40512399.56,4138766.327
143,6.3,93,37,882,1.9,0.34,0.05,9.7,49.8,23.1,375,46,32.3,24,462,0.51,13.6,19.3,436,22.7,0.38,2.4,274,7,3477,1.9,67.9,1.3,18.2,42,327,13.73,1.63,3.57,2.72,1.34,1.99,68.92,40514170.92,4138769.142
195,7.1,118,44,881,1.9,1.59,0.06,9.1,49.2,40.1,400,32,24.9,24,442,0.61,13.3,19,390,37.2,0.34,3,229,8.8,3425,2.2,66.5,2.3,18.2,108.4,341,13.54,1.3,3.61,2.83,1.32,1.9,69.54,40515942.29,4138772.333
264,6.6,135,34,873,1.6,0.73,0.05,8.8,46,81.2,370,52,39.4,20,334,0.46,12.3,15.7,392,85.5,0.31,2.9,283,8.2,3247,1.5,61.6,1.4,17,51.2,342,13.47,2.11,3.61,2.79,1.12,2.31,68.5,40518599.34,4138777.823
37,5.7,12,34,1008,1.8,0.17,0.05,9.2,45.5,24,330,30,38.4,22,429,0.47,12.9,14.1,542,23.5,0.31,2.4,375,7.6,3588,1.8,66.5,0.89,17.3,45.6,375,13.96,1.67,3.61,2.84,1.19,2.3,68.6,40520370.71,4138781.952
32,4.7,18,30,1215,1.5,0.07,0.03,9.6,44.5,19.1,328,39,40.2,20,442,0.33,12.5,15.7,460,20.6,0.28,3.8,440,7.1,3744,2,68.9,1.1,17.5,49.8,404,14.02,1.66,3.67,2.66,1.26,2.41,68.62,40522142.08,4138786.457
61,5.4,15,38,969,1.7,0.25,0.05,10.1,51.8,23.6,314,76,39.1,22,411,0.4,13,18.6,398,21,0.2,2.4,302,8.4,3704,2.1,72,1.6,18.4,45.1,350,14.03,1.25,3.71,2.61,1.22,2.03,68.9,40523913.45,4138791.337
94,3.4,164,32,1048,1.8,0.14,0.05,8.5,41,23.6,320,39,27,20,506,0.4,12.6,16.4,465,22.7,0.2,2.2,360,7.4,3360,1.8,64.6,1,16.9,45.8,338,13.49,1.35,3.6,2.73,1.21,2.33,69.37,40526570.5,4138799.36
44,5.7,51,35,861,1.8,0.14,0.05,9.1,45.2,19.5,325,23,32.5,22,500,0.43,13.6,18.6,388,22.3,0.31,1.7,254,8.2,3626,2,69.4,1.6,17.9,40.3,341,13.58,1.17,3.53,2.72,1.31,2.04,69.61,40528341.88,4138805.179
86,5.1,20,35,959,1.8,0.4,0.07,9.5,54.1,29,340,53,30.2,22,530,0.46,14.9,17.3,516,29.9,0.66,2.8,261,8.7,3522,2,67.3,1.6,19.5,55.4,340,13.49,1.32,3.53,2.87,1.27,2.18,69.48,40530113.25,4138811.373
46,5.6,46,36,716,1.6,0.28,0.09,10.9,61.3,23.3,380,44,37.3,25,522,0.23,14.7,20.5,476,27.8,0.4,2.2,216,8.2,3831,2,92.4,1.3,19.2,51.8,351,13.49,1.16,3.78,2.67,1.47,1.76,69.37,40531884.62,4138817.942
86,4.7,7.9,31,854,1.4,0.3,0.07,10.6,57.1,26,385,55,25.6,23,495,0.3,13.2,23.2,689,25.1,0.25,2.2,278,7.4,3795,1.9,91.2,1.2,18.3,64.1,351,13.67,1.67,3.88,2.67,1.37,2.07,68.52,40534541.69,4138828.5
90,6.7,35,40,714,1.8,0.41,0.07,10.7,53.2,36.7,438,58,32.1,24,505,0.62,13.7,20.6,525,32.9,0.34,2.8,228,7.9,3810,2,92,2.3,18.1,56.8,322,13.49,1.28,3.96,2.68,1.31,1.91,69.42,40536313.06,4138836.008
96,4.6,30,28,687,2.4,0.73,0.1,10.2,65.6,47,450,36,25.9,34,533,0.58,12.6,25.7,592,25.7,0.25,2.4,282,6.7,3956,1.7,92.9,2.1,17.2,77.6,322,13.56,1.86,4.07,2.54,1.37,2.25,69.29,40538079.38,4139953.767
1222,20.8,116,28,675,2.1,0.83,0.41,13.5,70.1,207.7,530,124,28.6,37,601,0.67,12.7,29.9,775,125.9,0.36,2.9,278,9.1,4024,2.5,94.5,2.1,19.1,172,352,13.79,2.01,5.07,2.55,1.34,2.17,67.36,40539850.52,4139962.027
93,2.8,12,30,555,2.3,0.12,0.06,16.3,72.7,40,730,36,31.1,51,616,0.58,13.4,32.9,682,23.2,0.36,4.4,313,7.1,4599,2.1,105.9,1.2,18.9,64.2,285,15,2.23,5.23,2.27,1.79,2,65.2,40542507.24,4139975.12
84,8.2,12,30,867,2.5,0.4,0.03,9.7,51.9,22.4,445,16,28.1,29,428,0.15,16.1,20.5,394,42.1,0.23,3,263,9.6,3534,1.7,67,1.5,20.4,48.1,280,15.22,1.34,3.77,2.84,1.22,2.69,68.82,40544278.39,4139984.318
35,3.4,3.6,29,966,2.7,0.2,0.02,10.2,49.4,18.1,470,11,38.6,32,511,0.15,17.9,23.3,362,25.2,0.43,3,285,9.7,3596,2,67.6,0.93,21.8,54.8,285,16.04,1.09,3.78,3.01,1.34,2.65,68.28,40546049.54,4139993.892
42,2.7,11,21,1009,2.3,0.18,0.01,7.9,44.4,15.5,380,14,42.5,26,420,0.1,15.6,15.3,352,25.2,0.23,2.4,303,9.3,3312,2,60.3,1.2,20.6,43.2,290,15.13,1.1,2.93,3.27,1.01,2.8,70.19,40547820.69,4140003.841
35,4.8,2,40,893,2.4,0.21,0.01,9.2,46,15.5,350,11,50.5,28,397,0.1,15.9,17.2,294,22.4,0.33,3,287,10.5,3522,1.7,64.7,0.77,21.4,45.7,344,15.68,1.1,3.3,2.89,1.06,2.66,69.22,40550477.41,4140019.468
50,4.2,3.6,31,826,2.2,0.17,0.02,8,50.4,13.4,460,14,37.1,27,527,0.1,15.2,15.7,344,24.3,0.25,2.6,277,10,3352,1.9,62.2,1,18.6,48.7,308,15.87,1.06,3.11,2.93,1.07,2.61,69.35,40552248.57,4140030.356
42,6,2.2,41,731,2.1,0.14,0.02,11,58.1,21.7,410,9,30.2,25,539,0.34,14.4,21.7,326,22.7,0.33,2.8,250,8.5,3913,2,92.2,0.93,19.4,46.1,344,15.15,1.31,3.98,2.74,1.31,2.19,68.45,40554019.72,4140041.619
39,5.4,2.6,22,680,1.9,0.2,0.04,17.1,91.9,37.2,610,11,22.2,24,778,0.46,13.5,38.6,694,17.7,0.28,2.4,286,7,4860,2.2,109.3,0.93,20.2,67.5,390,14.73,2.58,6.06,2.02,1.84,2.1,64.84,40556676.46,4140059.218
34,3,1.7,17,633,1.9,0.21,0.04,22.1,95.5,45.6,740,14,34,24,919,0.93,13.6,46.4,750,16.9,0.36,2.2,287,7.5,5684,2.4,126.3,1.6,19.7,76.1,289,15.34,2.92,7.69,1.67,2.02,2.17,61.03,40558447.62,4140071.42
35,7,3.8,50,995,1.8,0.2,0.05,8.6,43.8,16.7,317,32,22.3,28,451,0.34,13.5,19.6,382,18.7,0.34,2.2,316,7.2,3275,1.4,64.4,1.3,18.3,38.6,297,12.65,1.79,3.2,2.77,1.4,1.9,69.69,40500000,4139866.998
40,5.6,4.4,38,900,5.8,0.18,0.05,7,40.4,13.7,301,24,23.5,25,412,0.27,13,16,386,18.2,0.28,3.2,292,6.2,3155,1.2,60.5,1,17.3,34,345,12.6,1.83,2.8,2.72,1.26,2.25,70.59,40502656.69,4139867.42
47,5.7,53,27,1017,1.6,0.21,0.05,7.7,49.3,16.2,265,57,18.7,24,418,0.25,13,16.3,542,23.3,0.31,1.8,317,7,3106,1.4,60.2,0.85,17.6,38.4,316,12.98,1.74,2.98,2.87,1.24,2.29,69.95,40504427.82,4139868.171
52,6.2,8.7,36,981,1.7,0.18,0.05,8.7,46,17.3,305,46,19.2,27,480,0.31,12.8,19.8,438,19.7,0.46,2.3,289,7.2,3271,1.3,65,1.1,18.6,39.4,329,12.65,1.63,3.31,2.62,1.34,1.83,69.91,40506198.13,4140979.167
69,6.7,22,38,936,1.7,0.18,0.06,8.1,46.3,16.8,285,37,34,29,440,0.8,12,16.7,584,20.1,0.36,2.2,329,6.8,3089,1.5,60.7,1.4,17.6,42.6,305,12.52,2.22,3.13,2.78,1.29,1.9,69.18,40507969.03,4140980.669
98,4.6,31,29,923,1.7,0.2,0.07,10,47.1,25.4,382,28,26,33,558,0.56,11.3,21.6,412,28,0.36,3.1,382,6.5,3266,1.1,66,1.4,17.1,45.3,341,13.49,2.35,4.04,2.54,1.27,2.02,66.98,40510625.37,4140983.626
124,6,90,31,1125,1.7,0.38,0.07,8.2,48.5,27,360,46,37.1,26,451,0.4,12.3,16.5,465,27.3,0.36,2.7,318,7.5,3187,1.4,62.4,1.3,17.7,43.6,399,13.49,1.66,3.15,2.79,1.24,2,69.5,40512396.26,4140986.066
67,5.6,82,33,1107,1.7,0.97,0.05,9.1,47.6,18.7,425,28,37.5,26,476,0.46,12.9,17.5,458,23.2,0.38,2.1,370,7.6,3515,1.6,67.3,1.3,18.6,44,447,14.39,1.69,3.48,2.87,1.27,2.1,68.2,40514167.16,4140988.882
47,5.9,30,38,1049,1.7,0.27,0.04,10.4,48,17.5,415,38,40.3,24,487,0.51,13,19.2,458,23.1,0.4,2.5,345,9.3,3747,1.8,72.2,1.1,18.2,47,377,15.04,1.7,3.88,2.77,1.32,2.03,67.02,40515938.06,4140992.073
76,5.8,31,29,1162,1.7,0.37,0.06,9,45,40.2,395,44,40.8,22,387,0.47,11.7,15.8,532,25.7,0.31,1.8,385,7.3,3321,1.6,63,1.2,16.3,57.4,364,13.54,2.35,3.64,2.79,1.29,2.27,67.92,40518594.4,4140997.564
42,6.2,8.1,34,986,1.8,0.18,0.03,11.2,51.8,25.1,425,552,47.7,26,438,0.43,13.2,21,404,21.5,0.36,2.4,337,8.5,3820,1.4,90.9,0.89,18,47.4,344,15.07,1.81,4.16,2.65,1.35,2.07,66.72,40520365.3,4141001.695
41,5.3,14,27,1075,1.6,0.11,0.07,11.5,52.2,27.7,406,32,48.4,25,505,0.5,14.1,21.9,567,30.7,0.31,2.6,394,8.9,4118,2.6,93.6,1.2,19.2,70.9,397,15.11,1.73,4.43,2.78,1.44,2.15,66.33,40522136.2,4141006.2
34,4.7,9.6,26,1066,1.3,0.23,0.07,9.9,47.7,22.3,302,32,38.9,19,441,0.23,11.7,21.2,719,27.8,0.31,2.6,445,8.3,3629,2.2,68.8,0.69,17.1,59.7,363,14.7,2,3.78,2.81,1.35,2.38,67.3,40523907.1,4141011.081
92,3.4,18,32,1046,1.7,0.23,0.04,8.9,46.5,22.3,330,26,31.7,20,416,0.4,12.5,14.3,489,22.6,0.36,2.2,355,7.2,3418,1.9,65,1.3,16.1,42.2,403,13.9,1.34,3.25,2.9,1.22,2.27,69.54,40526563.45,4141019.106
41,5.3,6,32,954,1.6,0.28,0.07,10.6,53.8,25.3,436,36,33.2,23,577,0.4,13.9,24.1,544,32.3,0.37,2.3,295,8.8,3774,1.9,72.4,1.3,18.8,57.1,338,14.75,1.42,4.21,2.86,1.32,2.21,67.77,40528334.35,4141024.926
45,5.7,17,28,862,1.8,0.25,0.06,11.1,64,30.7,435,51,33.6,26,560,0.3,13.4,27.3,484,24.9,0.51,2.2,251,7.9,3865,1.8,93.6,1.2,19.6,52.9,320,14.15,1.34,4.21,2.69,1.47,1.9,68.26,40530105.25,4141031.121
77,6,10,32,912,1.6,0.14,0.07,9.4,48,20.9,355,23,37.6,24,490,0.4,13.2,18.6,433,29.8,0.37,2.4,295,8.5,3600,2.1,68.3,1.4,18,53.5,366,13.58,1.31,3.47,2.75,1.34,2.14,69.61,40531876.15,4141037.692
68,6.5,20,39,985,1.9,0.2,0.06,10.1,48.1,25.9,365,47,29.2,20,501,0.3,13.6,21.2,473,28.3,0.4,3.2,263,7.3,3554,2.2,69.8,1.3,18.3,55.5,320,13.33,1.3,3.61,2.72,1.44,2.03,69.69,40534532.51,4141048.252
45,4.3,8.9,41,1236,1.5,0.15,0.05,9.1,48.3,20.7,309,23,32.9,20,464,0.4,13.3,18,456,24.3,0.3,2.6,315,7.9,3337,2.1,64.2,1,17.4,48.8,299,13.75,1.13,3.35,2.98,1.29,2.14,69.74,40536303.42,4141055.761
54,6.7,14,30,1129,1.7,0.2,0.06,9.1,49.7,27.7,328,51,26.7,21,485,0.5,12.6,19,456,25.7,0.34,2.1,333,7.1,3386,1.9,65.9,1.3,16.7,48.4,274,14.03,1.17,3.57,3.02,1.27,2.23,69.33,40538074.32,4141063.646
263,8.4,107,34,1063,1.8,0.18,0.1,9.3,48.3,51.9,337,70,27.6,20,505,0.4,13.2,21,463,65.8,0.41,2.4,303,9.3,3182,2.9,62.8,1.3,18,77.7,268,13.85,1.13,3.71,2.99,1.21,2.12,69.29,40539845.23,4141071.906
104,5.6,53,34,759,2,0.2,0.09,11.4,51.2,42.4,498,47,24.6,26,558,0.36,14.1,23.9,597,30.7,0.34,2.3,253,8.5,3922,3.1,92.6,1.5,19.5,69.1,278,13.81,1.67,4.46,2.55,1.35,2.34,68.24,40542501.6,4141085
74,3.6,86,27,765,1.8,0.18,0.02,8.8,39.7,18,450,17,41.7,28,408,2.5,17.2,17.3,409,25.2,0.23,4.1,261,10.5,3401,1.9,61.7,0.93,20.8,46.6,308,15.19,1.16,3.33,3.08,1.19,2.77,69.8,40544272.51,4141094.199
582,4.2,105,34,864,1.8,0.18,0.03,8.9,53.6,21.1,490,16,32.2,29,435,1.2,16.5,19.2,442,39.1,0.47,2.9,258,10.6,3416,2.5,64.4,1.3,20.9,55.2,265,15.15,1.04,3.5,3.15,1.26,2.61,69.61,40546037.3,4142213.657
220,3.2,8.4,26,961,2.2,0.33,0.02,7.9,44.7,16.9,615,14,45.3,23,386,0.27,16.5,17.6,411,32.5,0.34,2.3,298,10.4,3328,2.4,61,1.3,21.4,46,338,15.07,1.09,3.05,3.05,1.02,2.79,70.16,40547807.98,4142223.608
48,4.8,6.2,34,850,2.6,0.33,0.03,9.7,51.7,17.4,500,14,45.8,26,509,0.62,16.2,19.9,321,23.7,0.36,2.6,270,9.9,3803,2.8,71.1,1.4,20.6,48.2,329,15.77,1.02,3.66,2.93,1.16,2.46,68.84,40550464,4142239.239
42,6.2,2.7,28,1105,2.6,0.15,0.02,9.2,48.4,13.4,490,6,39.7,27,466,0.34,17,17.1,314,26.7,0.37,2.3,295,10.1,3481,2.4,63.7,0.77,20.8,48.4,339,16.51,1.03,3.27,3.07,1.07,2.57,68.5,40552234.68,4142250.129
48,6.1,3.4,38,810,2.4,0.37,0.02,10.2,53.7,18.1,510,29,22.3,28,497,0.56,17,20.7,337,25.5,0.4,2.9,240,7.8,3699,2.6,70.2,1.1,19.4,46,343,15.68,1.06,3.58,2.91,1.12,2.14,68.79,40554005.37,4142261.394
61,2.6,4.4,15,572,2.3,0.18,0.04,21.7,80.1,43.2,1030,6,9.7,30,964,0.75,13.9,48.8,877,17.3,22,4.6,263,6.3,5174,2.3,117.1,2.2,21.5,94.9,346,16.06,3.41,7.96,1.69,2.05,2.25,59.13,40555776.06,4142273.035
33,2.5,5.2,14,583,1.7,0.25,0.05,22.5,101.5,46.6,675,8,44.9,21,972,0.46,12.6,55.1,868,18.8,0.23,2.2,315,7.5,6130,2.9,131.3,1.3,20.5,86.4,347,14.85,3.33,8.49,1.74,2.25,2.11,60.05,40558432.09,4142291.2
32,7.9,1.7,38,1068,1.5,0.12,0.05,6.2,36.6,12.6,277,17,21.3,20,374,0.28,12.5,13.1,483,20.8,0.3,1.7,318,6.1,2992,0.8,57.3,0.64,16.5,29.7,327,11.33,1.58,2.4,2.98,1.12,2.07,72.62,40500000,4142086.739
41,6.8,2.5,32,1127,1.8,0.12,0.04,8.5,42.8,16.2,358,39,39.8,23,487,0.41,14.3,18.3,496,19.6,0.31,1.9,306,7.3,3352,1.2,64.8,1.1,18.5,38.5,323,12.11,1.62,3.08,2.84,1.27,1.99,70.51,40501770.66,4142086.927
49,5.5,3.5,45,1038,1.7,0.15,0.05,7.3,45.1,14.1,382,35,32.7,24,422,0.47,11.9,16,502,18.6,0.31,3.3,330,5.8,3044,1.3,58.9,1.2,16.4,35.8,293,13.05,1.88,2.83,2.92,1.34,2.38,69.99,40504426.65,4142087.913
56,6,7.9,43,835,1.9,0.18,0.05,11.2,68,28.9,530,42,35.2,28,552,0.88,13.7,25,516,32.4,0.36,2.5,359,6.6,3558,1.7,91.8,1.3,19.3,52.3,284,15.32,1.65,4.17,2.95,1.34,2.03,66.31,40506197.31,4142089.039
65,6.2,19,44,861,1.7,0.2,0.05,8.8,48.9,15.9,418,93,38.1,28,512,0.46,13.7,19.2,537,27.8,0.36,2.1,353,6.7,3208,0.73,63.8,1.5,17.8,40.5,336,12.77,2.02,3.18,2.8,1.32,1.83,68.69,40507967.97,4142090.541
94,6,42,44,795,1.8,0.28,0.07,9.8,53,22.8,358,48,38.1,28,527,0.46,12.3,19.8,490,27.2,0.34,2.3,273,6.1,3467,1.1,67.9,1.3,16,44.9,380,13.67,1.88,3.58,2.55,1.31,1.99,68.54,40509738.63,4142092.419
179,6.3,680,36,1132,1.4,0.85,0.04,9.3,42.4,17.6,277,28,24.1,24,426,0.37,12.3,18.9,370,27.5,0.34,1.9,312,7.2,3258,1.2,64.8,1.7,17.8,36.5,400,13.07,1.76,3.4,2.74,1.16,1.86,69.05,40512394.62,4142095.939
40,5.8,102,25,1089,1.8,0.18,0.04,8.7,47.1,13.9,382,28,40.2,22,430,0.28,12,18.1,506,25.3,0.36,1.8,443,8.1,3514,0.85,67,1.1,17,41.7,443,13.47,1.72,3.37,2.79,1.24,2.31,69.16,40514163.39,4143208.63
34,6.1,6.6,31,814,1.8,0.15,0.03,10.3,52.7,16.2,422,37,55.6,26,469,0.28,12.8,19.7,502,22.2,0.34,2.2,394,9.9,3747,1.4,91.4,1.1,17.8,55.7,379,14.11,1.7,3.96,2.46,1.4,1.96,67.6,40515933.82,4143211.822
46,5.1,23.5,25,1159,1.7,0.2,0.05,8.7,43.2,23.7,301,23,37.5,22,413,0.37,11.9,15.9,411,22.2,0.31,1.4,428,8.6,3428,1.1,64.8,1.2,17.3,46.3,392,14,1.8,3.48,2.71,1.17,2.5,68.56,40518589.46,4143217.314
26,5.1,9.7,28,1160,1.7,0.18,0.07,12.1,51.2,21.1,418,25,43.8,24,525,0.36,12.2,22.3,568,20.3,0.34,1.7,399,8.5,3988,1.8,93.8,0.89,18.8,57.8,388,14.43,2.02,4.66,2.51,1.42,2.15,66.31,40520359.89,4143221.445
36,6.7,9.8,30,968,1.1,0.18,0.04,9.7,54.3,27.6,401,26,48.7,28,500,0.43,12,19,514,20.8,0.34,2.4,383,7.8,3828,2,71.9,1.4,18.2,49.8,406,14.32,1.7,3.78,2.66,1.42,2.08,68.09,40522130.31,4143225.951
30,4.7,14,25,1131,1.3,0.2,0.03,8.5,43,26.5,345,105,29,22,401,0.46,11.7,14.7,391,27.2,0.28,2.6,479,7.1,3277,1.4,62.8,0.79,16.8,44.9,435,14.58,1.69,3.35,2.9,1.27,2.48,68.52,40523900.74,4143230.833
38,3.8,154,30,1073,1.4,0.15,0.03,10.8,65.8,31.7,530,32,24.7,23,469,0.3,11.9,26.4,459,29.2,0.56,8,433,7.8,3736,2.3,72,0.85,17.4,57.2,313,15,1.83,3.98,2.84,1.8,2.15,66.76,40526556.39,4143238.86
30,5.7,4.6,34,1019,1.4,0.23,0.04,11.6,61.3,30.3,448,32,40.3,28,519,0.4,13.8,22.7,517,23.5,0.37,2.5,330,9.1,3857,2.4,94.7,1.3,18.9,54,360,14.88,1.38,3.98,2.73,1.65,1.75,67.34,40528326.82,4143244.681
37,6.9,6.8,45,912,1.4,0.15,0.04,9.9,57.6,25.7,346,61,15.3,26,477,0.34,12.6,20.3,485,26.5,0.47,2.6,286,7.9,3612,2,72,1.3,18.5,47.7,358,14.32,1.24,3.68,2.73,1.4,1.75,68.56,40530097.25,4143250.877
559,9.6,160,27,1217,1.6,0.36,0.34,9.8,44.7,59.3,398,41,23.3,19,469,0.5,9.9,18.6,513,162.4,0.37,2.6,358,9.3,2884,2.1,56.1,1.6,16.9,138.8,280,13.39,1.37,3.51,2.91,1.17,2.25,69.97,40531867.68,4143257.449
56,6,8.7,39,881,1.8,0.2,0.07,10.2,57.5,26.1,402,53,28.5,26,500,0.66,14.3,21.5,585,23.8,0.41,2.9,296,7.8,3511,2.1,68.4,1.8,18.2,54.8,324,14.11,1.31,3.67,2.86,1.49,2.03,68.84,40534523.33,4143268.011
75,8.3,16,39,882,2.3,0.2,0.09,10.6,58.1,27.6,409,41,45.1,20,483,0.4,13.9,22.1,566,29.9,0.37,3.4,283,8.9,3773,2.6,91.4,1.1,18.4,66.2,312,14.47,1.17,3.86,2.77,1.52,1.95,68.6,40536293.77,4143275.521
98,4.3,56,30,992,1.7,0.15,0.07,9.8,46.8,31.8,372,67,38.3,22,492,0.43,13.3,19.2,480,33.7,0.28,2.5,315,8.4,3474,2.1,65.1,1,17.8,60.9,280,14.32,1.16,3.71,3.04,1.29,2.3,69.12,40539834.64,4143291.669
486,10,170,25,1165,1.6,0.38,0.25,10.6,41.8,105.5,452,89,18.4,18,415,0.69,11.4,19.1,455,139.9,0.43,3,349,8.8,2837,2.5,54.7,1.2,16.5,299.2,244,13.37,1.23,4.13,3.01,1.16,2.37,69.39,40542490.3,4143304.766
606,8,270,30,1053,1.7,0.23,0.13,11,71,110.6,840,23,35.5,22,521,0.68,15,24.6,479,90.4,0.43,3.7,275,9.7,3236,2.2,61.9,1.6,20,133.3,271,13.71,1.27,4.3,2.87,1.45,2.27,70.4,40544260.74,4143313.967
504,5.9,490,26,1148,1.73,0.28,0.08,11.5,64.4,49.1,650,14,38,21,476,0.5,15.5,27.2,416,46.4,0.25,3.2,329,9.6,3370,1.9,63.8,1.2,19.8,82.7,280,15.13,1.41,4.41,3.09,1.19,2.74,68.67,40546031.18,4143323.543
462,4.3,22,42,866,1.9,0.28,0.02,8.6,50.9,18.4,435,26,37.7,27,447,0.5,17.2,18,367,45.2,0.43,3.7,257,9.7,3898,2.2,70.9,1.6,21.2,50.6,374,14.3,1.07,3.41,2.77,1.11,2.39,71.23,40547801.62,4143333.495
132,3.9,30,36,647,2,0.23,0.02,10.8,53.4,21.4,585,11,42.7,30,483,0.27,15.7,20.7,356,24.9,0.31,3.8,298,7.8,3999,1.7,92.9,1,19.3,52.5,333,15.75,1.28,3.88,2.65,1.27,2.43,68.62,40550457.29,4143349.127
52,4.6,4,29,683,1.9,0.21,0.03,12.8,61.6,23.8,700,14,25.6,27,588,0.38,16.1,23.8,472,23.7,0.41,3.2,283,7.5,4387,2.5,98.3,0.77,19.8,56.8,327,15.55,1.74,4.5,2.58,1.26,2.34,67.45,40552227.74,4143360.018
35,3.9,4.1,27,542,1.7,0.3,0.04,18.1,73.7,33.2,775,11,25.3,26,769,0.81,18.1,35.5,552,20.8,0.36,2.1,210,8.2,5264,2.9,116.3,1,22.8,64.5,299,15.13,2.29,6.13,2.1,1.52,1.96,65.09,40553991.01,4144481.176
49,2.5,4.3,23,582,1.3,0.2,0.03,19.5,89.7,35.2,875,41,26.3,24,845,1,13.5,41.2,997,19.6,0.28,11,255,7.5,5048,2,114.2,1.4,21.2,74.3,308,14.98,2.72,6.57,2.12,1.74,1.96,63.87,40555761.22,4144492.819
