Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40494645.25,4074389.678,0,0.482555,0.502508,0.412106,0.50176,0.501958,0.503229,0.490262,0.506265,0.503741,0.510563,0.492006,0.501051,0.489086,0.50615,0.499257,0.509411,0.514872,0.511843,0.509851,0.498634,0.498087,0.502098,0.505262,0.491697,0.499158,0.503929,0.50644,0.502147,0.508538,0.509705,0.494433,0.512161,0.500416,0.500433,0.506231,0.500354,0.506864,0.498949,0.50177,101,14
40496430.17,4074388.745,0,0.507401,0.526149,0.437307,0.523649,0.52496,0.525896,0.512809,0.529613,0.523684,0.531822,0.515374,0.522402,0.503099,0.52704,0.521492,0.530126,0.537286,0.533689,0.53124,0.520008,0.521374,0.523504,0.527262,0.515322,0.520076,0.524814,0.527712,0.52317,0.530417,0.53121,0.516777,0.533725,0.522496,0.520994,0.527273,0.522853,0.526215,0.521724,0.523918,101,15
40499107.54,4074388.045,0,0.552242,0.569723,0.480745,0.566646,0.569173,0.569418,0.555453,0.57343,0.565891,0.573527,0.558456,0.564217,0.553386,0.568864,0.564114,0.571737,0.579466,0.575891,0.572565,0.561382,0.565944,0.566134,0.57053,0.55998,0.562288,0.566302,0.56983,0.564343,0.572531,0.573372,0.5585,0.576366,0.565522,0.56296,0.5687,0.566363,0.565874,0.565292,0.56673,101,16
40476802.12,4076639.063,0,0.535835,0.553971,0.465589,0.551175,0.553067,0.553553,0.538231,0.556299,0.549904,0.556435,0.54129,0.548753,0.551189,0.551981,0.546902,0.554248,0.563066,0.56024,0.555304,0.54363,0.549827,0.549425,0.553097,0.543716,0.545798,0.548863,0.552473,0.546637,0.556678,0.556842,0.540641,0.559846,0.54849,0.545408,0.551221,0.549946,0.547767,0.548622,0.550102,101,17
40484832.16,4076621.004,0,0.565885,0.581165,0.498318,0.578971,0.581747,0.581199,0.566426,0.583223,0.577397,0.584293,0.569907,0.576017,0.558416,0.579718,0.575027,0.581468,0.589515,0.587431,0.583547,0.572581,0.578179,0.577233,0.581593,0.574105,0.57315,0.57631,0.579478,0.574735,0.583486,0.584097,0.568891,0.586869,0.57712,0.574816,0.579131,0.578094,0.574556,0.577215,0.578066,101,18
40486616.61,4076618.018,0,0.574241,0.585849,0.507773,0.584362,0.588337,0.587091,0.573132,0.5886,0.582032,0.58873,0.575411,0.580879,0.567939,0.584341,0.580336,0.585193,0.595181,0.591653,0.587863,0.578119,0.58494,0.58226,0.587303,0.582085,0.577872,0.580174,0.583239,0.579223,0.587831,0.588893,0.573763,0.59078,0.582945,0.580692,0.583614,0.584077,0.577274,0.583697,0.583467,101,19
40489293.29,4076614.238,0,0.623913,0.632536,0.557873,0.632343,0.636588,0.634603,0.620815,0.633379,0.628791,0.637268,0.625002,0.628383,0.615412,0.632546,0.628439,0.633148,0.642325,0.640585,0.637203,0.626593,0.633381,0.629443,0.636111,0.631735,0.625114,0.628225,0.630203,0.627529,0.6351,0.636703,0.622445,0.637593,0.631166,0.629592,0.631691,0.631958,0.624963,0.631761,0.631469,101,20
40491077.74,4076612.185,0,0.616867,0.626658,0.547409,0.626826,0.62965,0.628421,0.614096,0.626431,0.623365,0.62928,0.617133,0.622209,0.617846,0.624424,0.620963,0.625147,0.633847,0.634593,0.628307,0.615649,0.628644,0.622145,0.628541,0.623936,0.618259,0.619729,0.621631,0.617664,0.629567,0.629597,0.613695,0.630113,0.623172,0.619622,0.622547,0.625053,0.615932,0.62456,0.624432,101,21
40492862.2,4076610.505,0,0.616336,0.627482,0.543979,0.627872,0.628439,0.628524,0.613252,0.626658,0.624551,0.628395,0.615718,0.622648,0.610774,0.623263,0.620101,0.624133,0.633964,0.635427,0.626183,0.611962,0.629244,0.621044,0.62698,0.621303,0.617904,0.618431,0.620347,0.615685,0.630539,0.629525,0.611674,0.629532,0.621328,0.615943,0.620595,0.624507,0.614582,0.623327,0.623946,101,22
40494646.65,4076609.199,0,0.601964,0.611574,0.530196,0.613459,0.615651,0.615908,0.598682,0.612014,0.61355,0.614887,0.601778,0.611322,0.58779,0.610307,0.606319,0.610447,0.622571,0.623522,0.614437,0.59826,0.615963,0.606979,0.613486,0.60832,0.60416,0.604711,0.605978,0.602083,0.617538,0.616521,0.598466,0.61414,0.608061,0.602973,0.606952,0.611428,0.601939,0.61007,0.610597,101,23
