Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40494645.25,4074389.678,0,39.844,7.57779,0.752128,24.8507,810.878,1.63941,0.166557,0.0578462,10.0103,63.8659,29.4592,306.639,19.6457,24.2818,20.9528,651.326,0.497845,11.2323,22.0067,448.284,34.8424,0.315709,2.2165,206.251,6.68382,3971,1.91902,77.6848,1.22889,20.2395,37.1224,389.873,13.6102,2.08975,4.65698,2.46536,1.41489,2.2432,68.235,101,14
40496430.17,4074388.745,0,47.2095,8.6515,0.820499,25.4967,873.109,1.70981,0.174228,0.058692,9.8566,64.2729,31.6258,300.477,21.0789,24.9658,21.5046,645.957,0.572508,11.1372,22.7574,450.216,36.0917,0.322155,2.30638,229.97,6.60815,3904.6,1.92522,77.6826,1.23146,20.2494,37.7949,394.2,13.8755,2.24512,4.61747,2.55088,1.35649,2.36428,68.89,101,15
40499107.54,4074388.045,0,43.6614,8.326,0.751305,25.7456,950.994,1.76249,0.177554,0.0561014,9.48995,60.0778,29.3272,287.968,22.2904,25.1001,21.2511,619.376,0.528715,10.7063,20.8447,427.111,38.135,0.319036,2.29451,257.653,6.39745,3682.85,1.84559,72.4287,1.1658,19.5959,35.2257,379.681,14.1403,2.08172,4.29397,2.67106,1.20211,2.51667,69.0067,101,16
40476802.12,4076639.063,0,37.1719,6.97434,0.680602,24.5991,958.563,1.73432,0.162407,0.0490095,8.94375,55.8967,26.5603,275.493,19.9577,23.2575,20.1195,582.458,0.418326,10.0144,18.6056,388.883,34.3438,0.295465,2.13056,267.493,6.08443,3563.54,1.68044,67.5421,1.07368,18.8367,32.6491,356.62,14.0586,1.90518,4.07131,2.62076,1.06834,2.49581,68.8749,101,17
40484832.16,4076621.004,0,40.3255,7.61579,0.752947,25.4844,1012.51,1.76809,0.162019,0.0521715,9.19502,55.4097,26.4221,272.696,21.2855,23.7494,20.1736,573.804,0.431532,9.83897,18.5556,388.833,37.3482,0.300298,2.17112,293.209,6.03816,3458.45,1.63164,65.6419,1.05984,18.566,31.4591,349.454,14.268,2.04938,3.9449,2.68645,1.02379,2.59593,69.2452,101,18
40486616.61,4076618.018,0,35.3833,6.33805,0.70906,25.1873,1041.82,1.72032,0.151192,0.0434801,8.39828,50.6694,23.6713,255.149,20.6785,22.6828,19.5613,528.14,0.353533,9.54116,16.6881,361.151,34.8609,0.287216,2.07789,316.037,5.78843,3170.56,1.48039,59.8495,0.971855,17.796,28.1922,329.563,14.2633,1.83708,3.58419,2.74163,0.8886,2.70529,69.2983,101,19
40489293.29,4076614.238,0,43.0564,6.7015,0.915591,27.2361,1131.51,1.79701,0.164538,0.0492475,8.73291,54.3039,26.5896,269.321,21.1568,23.5468,20.2536,544.449,0.400425,10.5292,17.72,373.829,40.6201,0.298818,2.22397,350.456,5.97769,3223.65,1.49073,62.3154,1.03446,18.4135,29.4026,338.82,14.4963,2.00469,3.70304,2.80516,0.93441,2.80431,70.2904,101,20
40491077.74,4076612.185,0,38.5867,6.15489,0.97471,27.1332,1115.84,1.7598,0.157611,0.0403225,8.57309,51.6799,24.2025,264.11,19.1779,22.3024,19.6933,521.383,0.37416,10.8073,16.6105,331.93,38.2919,0.287704,2.17064,356.631,5.84409,3110.66,1.3718,57.9826,0.999803,17.9972,27.5585,325.118,14.3819,1.89267,3.46635,2.79239,0.869456,2.79216,70.1278,101,21
40492862.2,4076610.505,0,39.2888,6.01685,1.05463,28.6402,1124.83,1.79151,0.168996,0.038655,8.94835,54.5451,24.5809,282.032,18.1616,22.4706,20.1907,535.676,0.386954,11.5141,17.3608,343.407,40.0181,0.291865,2.21133,360.415,6.07159,3190.58,1.37655,61.0877,1.04919,18.5735,28.9298,328.468,14.3467,1.93914,3.59523,2.80255,0.919907,2.77948,70.4442,101,22
40494646.65,4076609.199,0,35.6654,5.19255,1.0784,25.7693,1105.84,1.74788,0.155924,0.0315454,8.27758,50.6173,22.583,279.986,14.3313,19.8302,18.9095,504.171,0.387166,11.3258,16.4206,320.103,38.9478,0.264908,2.08723,359.679,5.6767,3029.23,1.22748,57.4388,0.975936,18.0538,27.4406,297.399,14.1719,1.87315,3.38897,2.77765,0.870443,2.74267,70.0049,101,23
